stid,lat,lon,alt,t_u
Petermann Glacier,80.6836,-60.2931,37.0,34165.0
QAS_A,61.243,-46.7328,1000.0,13015.0
QAS_L,61.030427,-46.849797,240.1,138627.0
QAS_Lv3,61.030654,-46.849498,237.4,14948.0
QAS_M,61.109911,-46.808667,678.0,56096.0
QAS_Mv3,61.109875,-46.808356,675.2,6129.0
QAS_U,61.172265,-46.822545,885.1,115260.0
QAS_Uv3,61.172173,-46.822585,882.3,24520.0
SCO_L,72.232719,-26.936527,470.0,128776.0
SCO_U,72.424926,-27.481842,980.0,118320.0
SDL,66.000171,-44.502663,2468.3,8295.0
SDM,63.148916,-44.817398,2892.8,16924.0
SE-Dome,67.18,-36.37,3170.0,0.0
SIGMA-A,78.05167,-67.62833,1490.0,48974.0
SIGMA-D,77.636,-59.12,2100.0,0.0
SMS-PET,80.6033,-60.0536,54.0,17020.0
SMS1,69.4822,-49.8017,822.0,29378.0
SMS2,69.4778,-49.8828,727.0,26656.0
SMS3,69.4403,-49.9703,605.0,41949.0
SMS4,69.4013,-50.2108,387.0,16940.0
SMS5,69.5056,-49.9093,0.0,5190.0
SW1,69.800944,-47.567889,1845.0,0.0
SW2,69.800944,-47.567889,1845.0,0.0
SW3,69.805861,-47.542417,1856.0,0.0
SW4,69.793222,-47.607806,1835.0,0.0
SWC,69.552457,-49.37591,1120.0,22008.0
SWC_O,69.59443,-49.282673,1158.5,15608.0
Saddle,65.9999,-44.5026,2451.0,194752.0
Site J,66.864952,-46.265141,2060.0,14924.0
South Dome,63.1489,-44.8175,2878.0,188734.0
Summit,72.5797,-38.5045,3254.0,219343.0
Swiss Camp,69.5556,-49.3647,1138.0,186829.0
Swiss Camp 10m,69.5556,-49.3647,1138.0,228539.0
T1new,69.738017,-48.060967,1710.0,0.0
T1old,69.738017,-48.060967,1710.0,0.0
T2_08,69.756933,-47.880283,1750.0,0.0
T2_09,69.756933,-47.880283,1750.0,0.0
T3,69.7836,-47.670183,1819.0,0.0
T4,69.819983,-47.4505,1877.0,0.0
T5,69.848017,-47.273583,1932.0,0.0
TAS_A,65.774442,-38.890758,880.3,73168.0
TAS_L,65.639177,-38.899164,229.8,105687.0
TAS_U,65.6978,-38.8668,570.0,50309.0
THU_L,76.399853,-68.26755,559.4,104037.0
THU_L2,76.393024,-68.265203,569.6,9897.0
THU_U,,,,88347.0
THU_U2,76.390204,-68.110534,745.1,41683.0
TUN,78.019295,-33.961291,2077.0,11280.0
Tunu-N,78.0188,-33.9668,2113.0,206255.0
UPE_L,72.893385,-54.295807,198.0,124950.0
UPE_U,72.885092,-53.61895,896.2,120316.0
WEG_B,71.141463,-51.222054,14.8,0.0
WEG_L,71.204955,-51.098881,933.1,9467.0
ZAK_A,74.647558,-21.652047,1484.8,0.0
ZAK_L,74.709165,-30.219014,685.7,0.0
ZAK_Lv3,74.624112,-21.374358,627.0,0.0
ZAK_U,74.624099,-21.374481,630.4,0.0
ZAK_Uv3,74.643273,-21.461341,861.3,0.0
s10,67.0,-47.01666667,1850.0,63902.0
s5,67.08333333,-50.1,500.0,303056.0
s6,67.06666667,-49.38333333,1000.0,268285.0
s9,67.05,-48.21666667,1500.0,302085.0
